ticker,name,sector,last,chg,pct,volume
SHEL,SHELL PLC ADR,Energy,96.77,0.81,0.84,4907016
HMC,HONDA MTR LTD ADR,Consumer Discretionary,32.52,0.90,2.85,649985
BBY,BEST BUY INC,Consumer Discretionary,90.80,2.71,3.08,2999595
WFC,WELLS FARGO & CO,Financials,90.29,0.84,0.94,12897622
CRBG,COREBRIDGE FINL INC,Financials,34.67,0.49,1.43,3785078
DBX,DROPBOX INC COM CL A,Information Technology,35.56,0.51,1.46,3981368
GEN,GEN DIGITAL INC,Information Technology,30.26,0.295,0.98,4787981
HPQ,HP INC,Information Technology,35.48,2.75,8.40,26508774
CLS,CELESTICA INC,Information Technology,346.55,21.33,6.56,2548636
QRVO,QORVO INC,Information Technology,116.65,4.29,3.82,2192403
QCOM,QUALCOMM INC,Information Technology,181.97,5.09,2.88,11534243
NXPI,NXP SEMICONDUCTORS N,Information Technology,236.62,10.155,4.48,3124210
VZ,VERIZON COMMUNICATIO,Communication Services,50.61,0.64,1.28,15932684
MTCH,MATCH GROUP INC NEW,Communication Services,42.39,0.57,1.36,2554382
